iter	Passed	Remaining
0	1239	1238394
1	1243	620646
2	1247	414458
3	1250	311301
4	1253	249357
5	1256	208144
6	1259	178712
7	1263	156637
8	1266	139450
9	1269	125687
10	1272	114438
11	1276	105092
12	1279	97174
13	1283	90361
14	1286	84449
15	1289	79293
16	1292	74740
17	1295	70688
18	1298	67062
19	1301	63784
20	1305	60837
21	1308	58157
22	1311	55714
23	1314	53450
24	1317	51371
25	1320	49457
26	1323	47690
27	1326	46049
28	1329	44512
29	1332	43072
30	1334	41725
31	1338	40488
32	1341	39309
33	1344	38198
34	1347	37152
35	1350	36162
36	1353	35229
37	1356	34350
38	1359	33510
39	1362	32704
40	1365	31941
41	1368	31220
42	1371	30529
43	1374	29865
44	1377	29228
45	1379	28618
46	1382	28037
47	1386	27489
48	1389	26963
49	1392	26449
50	1394	25956
51	1397	25483
52	1401	25035
53	1403	24594
54	1406	24168
55	1409	23755
56	1412	23362
57	1415	22985
58	1418	22618
59	1421	22262
60	1423	21913
61	1426	21576
62	1429	21261
63	1432	20953
64	1435	20652
65	1438	20359
66	1441	20075
67	1444	19801
68	1447	19532
69	1450	19273
70	1453	19019
71	1456	18774
72	1459	18534
73	1462	18305
74	1465	18078
75	1468	17859
76	1471	17642
77	1474	17430
78	1477	17229
79	1480	17030
80	1483	16834
81	1486	16640
82	1488	16448
83	1492	16271
84	1495	16100
85	1498	15928
86	1501	15757
87	1504	15588
88	1506	15423
89	1509	15265
90	1512	15112
91	1515	14958
92	1518	14805
93	1520	14656
94	1523	14511
95	1526	14370
96	1528	14232
97	1531	14096
98	1534	13961
99	1536	13831
100	1539	13703
101	1542	13581
102	1545	13457
103	1547	13334
104	1550	13212
105	1552	13094
106	1555	12981
107	1558	12870
108	1561	12761
109	1563	12651
110	1566	12544
111	1568	12439
112	1571	12335
113	1574	12236
114	1577	12139
115	1580	12041
116	1583	11947
117	1586	11855
118	1589	11764
119	1591	11674
120	1594	11584
121	1597	11497
122	1600	11409
123	1603	11324
124	1605	11240
125	1608	11157
126	1611	11074
127	1613	10992
128	1616	10912
129	1618	10833
130	1621	10755
131	1624	10679
132	1626	10604
133	1629	10530
134	1632	10458
135	1635	10387
136	1637	10317
137	1640	10248
138	1643	10180
139	1646	10112
140	1648	10043
141	1651	9976
142	1653	9911
143	1656	9848
144	1659	9784
145	1661	9721
146	1664	9661
147	1667	9600
148	1670	9541
149	1673	9484
150	1676	9425
151	1679	9367
152	1681	9310
153	1684	9254
154	1687	9199
155	1690	9143
156	1692	9089
157	1695	9035
158	1698	8982
159	1700	8927
160	1703	8876
161	1706	8824
162	1708	8773
163	1711	8722
164	1713	8672
165	1716	8623
166	1718	8574
167	1721	8524
168	1723	8476
169	1726	8428
170	1728	8380
171	1731	8334
172	1733	8288
173	1736	8242
174	1738	8196
175	1740	8150
176	1743	8106
177	1746	8063
178	1748	8020
179	1751	7977
180	1753	7934
181	1756	7892
182	1758	7851
183	1761	7811
184	1764	7772
185	1767	7733
186	1769	7693
187	1772	7653
188	1774	7614
189	1777	7576
190	1779	7538
191	1782	7500
192	1784	7462
193	1787	7425
194	1789	7387
195	1792	7352
196	1795	7316
197	1797	7281
198	1800	7246
199	1802	7211
200	1805	7177
201	1808	7143
202	1810	7108
203	1812	7074
204	1815	7039
205	1817	7005
206	1819	6971
207	1822	6939
208	1824	6907
209	1827	6874
210	1829	6842
211	1832	6810
212	1835	6780
213	1837	6748
214	1839	6717
215	1842	6686
216	1844	6656
217	1847	6627
218	1849	6597
219	1852	6568
220	1855	6538
221	1857	6509
222	1860	6480
223	1862	6451
224	1865	6424
225	1867	6397
226	1870	6369
227	1872	6341
228	1875	6314
229	1878	6287
230	1880	6260
231	1882	6233
232	1885	6206
233	1887	6178
234	1889	6151
235	1892	6125
236	1894	6099
237	1897	6074
238	1899	6049
239	1902	6024
240	1905	5999
241	1907	5975
242	1910	5950
243	1912	5926
244	1915	5902
245	1917	5877
246	1920	5853
247	1922	5829
248	1924	5805
249	1927	5782
250	1930	5760
251	1933	5738
252	1936	5716
253	1938	5693
254	1941	5671
255	1944	5649
256	1946	5627
257	1948	5604
258	1951	5583
259	1953	5561
260	1956	5540
261	1959	5519
262	1962	5498
263	1964	5477
264	1967	5456
265	1969	5435
266	1972	5415
267	1975	5395
268	1978	5376
269	1981	5356
270	1983	5336
271	1986	5316
272	1989	5297
273	1991	5278
274	1994	5258
275	1997	5239
276	2000	5220
277	2002	5201
278	2005	5183
279	2008	5163
280	2010	5144
281	2013	5126
282	2017	5110
283	2019	5092
284	2022	5074
285	2025	5056
286	2028	5038
287	2030	5020
288	2033	5002
289	2036	4984
290	2038	4967
291	2041	4950
292	2044	4933
293	2047	4916
294	2050	4901
295	2053	4884
296	2057	4869
297	2060	4853
298	2063	4837
299	2066	4821
300	2068	4803
301	2071	4787
302	2074	4771
303	2077	4755
304	2079	4739
305	2082	4723
306	2085	4706
307	2088	4691
308	2091	4676
309	2094	4660
310	2096	4644
311	2098	4628
312	2101	4612
313	2104	4597
314	2107	4582
315	2110	4567
316	2112	4551
317	2115	4536
318	2118	4521
319	2121	4507
320	2123	4492
321	2126	4476
322	2128	4461
323	2131	4446
324	2133	4431
325	2136	4417
326	2139	4403
327	2141	4388
328	2144	4373
329	2146	4358
330	2149	4344
331	2152	4330
332	2154	4316
333	2157	4302
334	2160	4288
335	2163	4274
336	2165	4260
337	2168	4247
338	2171	4233
339	2174	4220
340	2176	4206
341	2179	4192
342	2181	4178
343	2184	4165
344	2187	4152
345	2191	4141
346	2194	4129
347	2197	4117
348	2200	4105
349	2203	4092
350	2206	4079
351	2209	4066
352	2212	4054
353	2215	4043
354	2219	4032
355	2221	4019
356	2224	4007
357	2227	3994
358	2230	3981
359	2233	3969
360	2235	3957
361	2238	3945
362	2241	3933
363	2243	3920
364	2246	3908
365	2249	3896
366	2252	3884
367	2254	3872
368	2257	3860
369	2260	3848
370	2262	3836
371	2265	3824
372	2268	3813
373	2271	3801
374	2273	3789
375	2276	3778
376	2279	3766
377	2282	3756
378	2285	3745
379	2288	3733
380	2291	3722
381	2293	3711
382	2296	3700
383	2299	3689
384	2302	3678
385	2305	3666
386	2307	3655
387	2310	3644
388	2313	3633
389	2316	3622
390	2318	3611
391	2321	3600
392	2323	3589
393	2326	3577
394	2329	3567
395	2331	3556
396	2334	3545
397	2337	3535
398	2340	3524
399	2342	3514
400	2345	3504
401	2348	3494
402	2351	3483
403	2354	3473
404	2356	3462
405	2359	3451
406	2362	3441
407	2364	3431
408	2367	3420
409	2369	3409
410	2372	3399
411	2374	3388
412	2377	3378
413	2379	3368
414	2382	3358
415	2384	3347
416	2387	3337
417	2390	3327
418	2392	3317
419	2395	3308
420	2398	3298
421	2400	3288
422	2403	3278
423	2405	3268
424	2408	3258
425	2411	3248
426	2413	3239
427	2416	3229
428	2419	3219
429	2422	3210
430	2424	3200
431	2427	3191
432	2429	3181
433	2432	3172
434	2435	3162
435	2437	3153
436	2440	3144
437	2443	3134
438	2445	3125
439	2448	3116
440	2451	3107
441	2454	3098
442	2456	3088
443	2459	3079
444	2461	3070
445	2464	3061
446	2466	3051
447	2469	3042
448	2471	3033
449	2474	3024
450	2477	3016
451	2480	3007
452	2483	2998
453	2485	2989
454	2488	2980
455	2490	2971
456	2493	2962
457	2496	2953
458	2498	2945
459	2501	2936
460	2503	2927
461	2506	2918
462	2508	2909
463	2511	2901
464	2514	2892
465	2516	2883
466	2519	2875
467	2521	2866
468	2524	2858
469	2527	2849
470	2529	2841
471	2532	2832
472	2534	2824
473	2537	2815
474	2540	2807
475	2543	2799
476	2545	2791
477	2548	2782
478	2550	2774
479	2553	2765
480	2555	2757
481	2559	2750
482	2561	2742
483	2564	2733
484	2566	2725
485	2569	2717
486	2572	2709
487	2574	2701
488	2577	2693
489	2580	2685
490	2582	2677
491	2585	2669
492	2588	2662
493	2591	2654
494	2594	2646
495	2596	2638
496	2599	2630
497	2601	2622
